county_fips,county_name,state_name,total_buildings,bp_national_percentile,risk_national_percentile
01001,"Autauga County, AL",Alabama,30450,0.505,0.481
01003,"Baldwin County, AL",Alabama,120300,0.841,0.818
01005,"Barbour County, AL",Alabama,18131,0.564,0.543
01007,"Bibb County, AL",Alabama,15033,0.615,0.582
01009,"Blount County, AL",Alabama,39896,0.706,0.654
01011,"Bullock County, AL",Alabama,7927,0.64,0.61
01013,"Butler County, AL",Alabama,16032,0.471,0.445
01015,"Calhoun County, AL",Alabama,66791,0.826,0.781
01017,"Chambers County, AL",Alabama,23226,0.771,0.727
01019,"Cherokee County, AL",Alabama,23948,0.829,0.782
01021,"Chilton County, AL",Alabama,31659,0.73,0.692
01023,"Choctaw County, AL",Alabama,12058,0.509,0.487
01025,"Clarke County, AL",Alabama,19039,0.574,0.556
01027,"Clay County, AL",Alabama,11552,0.886,0.839
01029,"Cleburne County, AL",Alabama,12001,0.867,0.823
01031,"Coffee County, AL",Alabama,32688,0.443,0.423
01033,"Colbert County, AL",Alabama,39367,0.459,0.424
01035,"Conecuh County, AL",Alabama,12281,0.707,0.689
01037,"Coosa County, AL",Alabama,9820,0.862,0.822
01039,"Covington County, AL",Alabama,32309,0.65,0.627
01041,"Crenshaw County, AL",Alabama,12834,0.435,0.41
01043,"Cullman County, AL",Alabama,64099,0.691,0.625
01045,"Dale County, AL",Alabama,31075,0.397,0.382
01047,"Dallas County, AL",Alabama,24322,0.48,0.45
01049,"DeKalb County, AL",Alabama,56834,0.785,0.728
01051,"Elmore County, AL",Alabama,49199,0.687,0.652
01053,"Escambia County, AL",Alabama,26261,0.784,0.766
01055,"Etowah County, AL",Alabama,65683,0.767,0.717
01057,"Fayette County, AL",Alabama,13410,0.553,0.512
01059,"Franklin County, AL",Alabama,22127,0.555,0.513
01061,"Geneva County, AL",Alabama,23133,0.51,0.499
01063,"Greene County, AL",Alabama,7337,0.429,0.404
01065,"Hale County, AL",Alabama,12438,0.484,0.449
01067,"Henry County, AL",Alabama,15023,0.459,0.439
01069,"Houston County, AL",Alabama,59417,0.455,0.434
01071,"Jackson County, AL",Alabama,42335,0.693,0.639
01073,"Jefferson County, AL",Alabama,294103,0.665,0.618
01075,"Lamar County, AL",Alabama,12137,0.453,0.422
01077,"Lauderdale County, AL",Alabama,70284,0.474,0.427
01079,"Lawrence County, AL",Alabama,28581,0.448,0.41
01081,"Lee County, AL",Alabama,71280,0.763,0.722
01083,"Limestone County, AL",Alabama,59730,0.242,0.221
01085,"Lowndes County, AL",Alabama,9710,0.464,0.431
01087,"Macon County, AL",Alabama,13675,0.66,0.626
01089,"Madison County, AL",Alabama,179274,0.288,0.263
01091,"Marengo County, AL",Alabama,15219,0.458,0.428
01093,"Marion County, AL",Alabama,22472,0.54,0.498
01095,"Marshall County, AL",Alabama,62248,0.63,0.57
01097,"Mobile County, AL",Alabama,205286,0.882,0.862
01099,"Monroe County, AL",Alabama,16599,0.625,0.607
01101,"Montgomery County, AL",Alabama,106548,0.513,0.471
01103,"Morgan County, AL",Alabama,69635,0.476,0.426
01105,"Perry County, AL",Alabama,8672,0.528,0.491
01107,"Pickens County, AL",Alabama,16137,0.431,0.411
01109,"Pike County, AL",Alabama,22315,0.471,0.44
01111,"Randolph County, AL",Alabama,21082,0.851,0.806
01113,"Russell County, AL",Alabama,31493,0.636,0.617
01115,"St. Clair County, AL",Alabama,49282,0.753,0.711
01117,"Shelby County, AL",Alabama,93524,0.74,0.695
01119,"Sumter County, AL",Alabama,10586,0.454,0.423
01121,"Talladega County, AL",Alabama,49274,0.791,0.746
01123,"Tallapoosa County, AL",Alabama,30137,0.832,0.788
01125,"Tuscaloosa County, AL",Alabama,94888,0.569,0.534
01127,"Walker County, AL",Alabama,47478,0.701,0.652
01129,"Washington County, AL",Alabama,15210,0.803,0.774
01131,"Wilcox County, AL",Alabama,9081,0.468,0.447
01133,"Winston County, AL",Alabama,22247,0.685,0.63
02013,"Aleutians East Borough, AK",Alaska,881,0.045,0.052
02016,"Aleutians West Census Area, AK",Alaska,1408,0.025,0.025
02020,"Anchorage Municipality, AK",Alaska,90010,0.317,0.335
02050,"Bethel Census Area, AK",Alaska,6611,0.826,0.814
02060,"Bristol Bay Borough, AK",Alaska,1639,0.351,0.346
02063,"Chugach Census Area, AK",Alaska,3720,0.088,0.082
02066,"Copper River Census Area, AK",Alaska,3285,0.863,0.892
02068,"Denali Borough, AK",Alaska,2136,0.928,0.939
02070,"Dillingham Census Area, AK",Alaska,2477,0.603,0.637
02090,"Fairbanks North Star Borough, AK",Alaska,38877,0.982,0.982
02100,"Haines Borough, AK",Alaska,1791,0.062,0.062
02105,"Hoonah-Angoon Census Area, AK",Alaska,1544,0.067,0.065
02110,"Juneau City and Borough, AK",Alaska,10006,0.053,0.05
02122,"Kenai Peninsula Borough, AK",Alaska,36777,0.776,0.791
02130,"Ketchikan Gateway Borough, AK",Alaska,4630,0.045,0.043
02150,"Kodiak Island Borough, AK",Alaska,5639,0.372,0.341
02158,"Kusilvak Census Area, AK",Alaska,2733,0.591,0.573
02164,"Lake and Peninsula Borough, AK",Alaska,1926,0.444,0.476
02170,"Matanuska-Susitna Borough, AK",Alaska,56065,0.758,0.796
02180,"Nome Census Area, AK",Alaska,4720,0.498,0.494
02185,"North Slope Borough, AK",Alaska,4691,0.204,0.188
02188,"Northwest Arctic Borough, AK",Alaska,2419,0.766,0.773
02195,"Petersburg Borough, AK",Alaska,1860,0.043,0.041
02198,"Prince of Wales-Hyder Census Area, AK",Alaska,3868,0.043,0.041
02220,"Sitka City and Borough, AK",Alaska,3666,0.047,0.045
02230,"Skagway Municipality, AK",Alaska,810,0.15,0.163
02240,"Southeast Fairbanks Census Area, AK",Alaska,6152,0.96,0.967
02275,"Wrangell City and Borough, AK",Alaska,1571,0.052,0.048
02282,"Yakutat City and Borough, AK",Alaska,522,0.067,0.064
02290,"Yukon-Koyukuk Census Area, AK",Alaska,4764,0.942,0.949
04001,"Apache County, AZ",Arizona,44050,0.851,0.896
04003,"Cochise County, AZ",Arizona,77574,0.965,0.957
04005,"Coconino County, AZ",Arizona,70440,0.938,0.959
04007,"Gila County, AZ",Arizona,38470,0.97,0.984
04009,"Graham County, AZ",Arizona,19567,0.91,0.918
04011,"Greenlee County, AZ",Arizona,6626,0.954,0.967
04012,"La Paz County, AZ",Arizona,18493,0.432,0.435
04013,"Maricopa County, AZ",Arizona,1628681,0.759,0.787
04015,"Mohave County, AZ",Arizona,132290,0.743,0.796
04017,"Navajo County, AZ",Arizona,70541,0.712,0.797
04019,"Pima County, AZ",Arizona,456427,0.877,0.871
04021,"Pinal County, AZ",Arizona,210168,0.828,0.827
04023,"Santa Cruz County, AZ",Arizona,20839,0.988,0.975
04025,"Yavapai County, AZ",Arizona,137538,0.862,0.895
04027,"Yuma County, AZ",Arizona,93574,0.409,0.391
05001,"Arkansas County, AR",Arkansas,14100,0.263,0.249
05003,"Ashley County, AR",Arkansas,14483,0.415,0.413
05005,"Baxter County, AR",Arkansas,32595,0.739,0.706
05007,"Benton County, AR",Arkansas,126024,0.782,0.751
05009,"Boone County, AR",Arkansas,27605,0.749,0.713
05011,"Bradley County, AR",Arkansas,8493,0.441,0.435
05013,"Calhoun County, AR",Arkansas,5349,0.414,0.399
05015,"Carroll County, AR",Arkansas,23229,0.681,0.655
05017,"Chicot County, AR",Arkansas,8431,0.252,0.244
05019,"Clark County, AR",Arkansas,14463,0.512,0.482
05021,"Clay County, AR",Arkansas,14039,0.261,0.243
05023,"Cleburne County, AR",Arkansas,23091,0.775,0.726
05025,"Cleveland County, AR",Arkansas,6972,0.413,0.406
05027,"Columbia County, AR",Arkansas,17033,0.453,0.434
05029,"Conway County, AR",Arkansas,17287,0.737,0.677
05031,"Craighead County, AR",Arkansas,50790,0.287,0.271
05033,"Crawford County, AR",Arkansas,36871,0.883,0.838
05035,"Crittenden County, AR",Arkansas,23127,0.14,0.14
05037,"Cross County, AR",Arkansas,11624,0.262,0.247
05039,"Dallas County, AR",Arkansas,5686,0.425,0.412
05041,"Desha County, AR",Arkansas,8801,0.224,0.218
05043,"Drew County, AR",Arkansas,11927,0.392,0.388
05045,"Faulkner County, AR",Arkansas,59341,0.763,0.705
05047,"Franklin County, AR",Arkansas,15213,0.78,0.731
05049,"Fulton County, AR",Arkansas,12715,0.741,0.693
05051,"Garland County, AR",Arkansas,58229,0.638,0.598
05053,"Grant County, AR",Arkansas,11890,0.437,0.419
05055,"Greene County, AR",Arkansas,27015,0.335,0.309
05057,"Hempstead County, AR",Arkansas,17471,0.488,0.463
05059,"Hot Spring County, AR",Arkansas,21262,0.574,0.543
05061,"Howard County, AR",Arkansas,12273,0.592,0.558
05063,"Independence County, AR",Arkansas,27297,0.735,0.685
05065,"Izard County, AR",Arkansas,12897,0.751,0.708
05067,"Jackson County, AR",Arkansas,11254,0.497,0.464
05069,"Jefferson County, AR",Arkansas,37199,0.342,0.333
05071,"Johnson County, AR",Arkansas,18598,0.674,0.637
05073,"Lafayette County, AR",Arkansas,6793,0.494,0.472
05075,"Lawrence County, AR",Arkansas,14201,0.556,0.509
05077,"Lee County, AR",Arkansas,6338,0.271,0.256
05079,"Lincoln County, AR",Arkansas,8143,0.311,0.307
05081,"Little River County, AR",Arkansas,10643,0.56,0.523
05083,"Logan County, AR",Arkansas,19494,0.695,0.644
05085,"Lonoke County, AR",Arkansas,40152,0.408,0.38
05087,"Madison County, AR",Arkansas,16763,0.714,0.687
05089,"Marion County, AR",Arkansas,16095,0.762,0.724
05091,"Miller County, AR",Arkansas,25972,0.58,0.562
05093,"Mississippi County, AR",Arkansas,25603,0.079,0.082
05095,"Monroe County, AR",Arkansas,6400,0.338,0.318
05097,"Montgomery County, AR",Arkansas,10048,0.676,0.633
05099,"Nevada County, AR",Arkansas,7968,0.475,0.456
05101,"Newton County, AR",Arkansas,9219,0.742,0.718
05103,"Ouachita County, AR",Arkansas,17011,0.419,0.401
05105,"Perry County, AR",Arkansas,8549,0.683,0.63
05107,"Phillips County, AR",Arkansas,13329,0.247,0.235
05109,"Pike County, AR",Arkansas,10176,0.6,0.563
05111,"Poinsett County, AR",Arkansas,15153,0.214,0.208
05113,"Polk County, AR",Arkansas,19019,0.782,0.734
05115,"Pope County, AR",Arkansas,35827,0.728,0.68
05117,"Prairie County, AR",Arkansas,7573,0.378,0.355
05119,"Pulaski County, AR",Arkansas,182186,0.552,0.508
05121,"Randolph County, AR",Arkansas,15846,0.613,0.567
05123,"St. Francis County, AR",Arkansas,13402,0.272,0.258
05125,"Saline County, AR",Arkansas,60725,0.587,0.552
05127,"Scott County, AR",Arkansas,10883,0.745,0.695
05129,"Searcy County, AR",Arkansas,8849,0.821,0.784
05131,"Sebastian County, AR",Arkansas,65366,0.842,0.8
05133,"Sevier County, AR",Arkansas,12715,0.642,0.601
05135,"Sharp County, AR",Arkansas,15185,0.708,0.663
05137,"Stone County, AR",Arkansas,11278,0.775,0.742
05139,"Union County, AR",Arkansas,28085,0.4,0.387
05141,"Van Buren County, AR",Arkansas,14435,0.783,0.748
05143,"Washington County, AR",Arkansas,109519,0.863,0.827
05145,"White County, AR",Arkansas,50341,0.742,0.69
05147,"Woodruff County, AR",Arkansas,5676,0.394,0.377
05149,"Yell County, AR",Arkansas,17481,0.683,0.628
06001,"Alameda County, CA",California,459757,0.969,0.966
06003,"Alpine County, CA",California,1643,0.943,0.948
06005,"Amador County, CA",California,26925,0.973,0.981
06007,"Butte County, CA",California,102060,0.926,0.946
06009,"Calaveras County, CA",California,42602,0.979,0.986
06011,"Colusa County, CA",California,13839,0.968,0.977
06013,"Contra Costa County, CA",California,387160,0.927,0.92
06015,"Del Norte County, CA",California,14210,0.936,0.951
06017,"El Dorado County, CA",California,100466,0.983,0.989
06019,"Fresno County, CA",California,372103,0.9,0.911
06021,"Glenn County, CA",California,19345,0.957,0.958
06023,"Humboldt County, CA",California,76956,0.817,0.835
